tree,K,distribution,iteration,size,insert,lookup,remove
16std::set,16,cluster,5,4096,62.0605,25.92,47.5342
16std::set,16,cluster,5,8192,64.0869,33.52,50.8911
16std::set,16,cluster,5,16384,67.3279,55.6,51.9531
16std::set,16,cluster,6,32,115.625,6.96,90.625
16std::set,16,cluster,6,64,81.25,19.48,89.0625
16std::set,16,cluster,6,128,63.2812,15.98,49.2188
16std::set,16,cluster,6,256,49.6094,21.42,144.141
16std::set,16,cluster,6,512,148.828,24.46,61.5234
16std::set,16,cluster,6,1024,115.723,19.45,100.391
16std::set,16,cluster,6,2048,110.596,31.61,57.9102
16std::set,16,cluster,6,4096,69.7998,22.35,45.1416
16std::set,16,cluster,6,8192,61.2305,32.67,40.7227
16std::set,16,cluster,6,16384,64.6423,59.12,49.8474
16std::set,16,cluster,7,32,134.375,9.01,96.875
16std::set,16,cluster,7,64,82.8125,9.39,71.875
16std::set,16,cluster,7,128,60.9375,11.23,53.9062
16std::set,16,cluster,7,256,53.5156,12.29,48.8281
16std::set,16,cluster,7,512,78.3203,11.39,34.1797
16std::set,16,cluster,7,1024,51.9531,14.51,41.2109
16std::set,16,cluster,7,2048,69.7754,24.17,51.2695
16std::set,16,cluster,7,4096,71.582,30.27,57.3486
16std::set,16,cluster,7,8192,90.3198,47.61,53.8696
16std::set,16,cluster,7,16384,62.6587,58.42,46.4844
16std::set,16,cluster,8,32,165.625,21.13,103.125
16std::set,16,cluster,8,64,85.9375,6.69,64.0625
16std::set,16,cluster,8,128,59.375,14.31,51.5625
16std::set,16,cluster,8,256,53.5156,16.23,89.4531
16std::set,16,cluster,8,512,42.3828,9.95,34.7656
16std::set,16,cluster,8,1024,50.293,16.55,41.8945
16std::set,16,cluster,8,2048,58.7402,20.79,52.4414
16std::set,16,cluster,8,4096,50,21.21,37.8662
16std::set,16,cluster,8,8192,57.8613,29.63,44.1162
16std::set,16,cluster,8,16384,54.6326,62.37,49.5483
16std::set,16,cluster,9,32,131.25,6.96,106.25
16std::set,16,cluster,9,64,79.6875,7.57,67.1875
16std::set,16,cluster,9,128,82.0312,11.51,44.5312
16std::set,16,cluster,9,256,53.5156,16.35,36.3281
16std::set,16,cluster,9,512,80.0781,14.42,36.3281
16std::set,16,cluster,9,1024,52.5391,14.56,30.957
16std::set,16,cluster,9,2048,62.6953,24.1,51.9043
16std::set,16,cluster,9,4096,76.8799,23.94,41.9678
